"","derived_msa_md","metrodivisioncode","csacode","cbsatitle","metropolitanmicropolitanstatis","metropolitandivisiontitle","csatitle","countycountyequivalent","statename","fipsstatecode","fipscountycode","centraloutlyingcounty","county_fips","race_msa","msa","county_fips_race"
"1",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Barrow County","Georgia",13,13,"Outlying","13013","white",0.0660316643068606,"13013_w"
"2",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Barrow County","Georgia",13,13,"Outlying","13013","black",0.161841363764441,"13013_b"
"3",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Barrow County","Georgia",13,13,"Outlying","13013","tot",0.107818491150555,"13013_t"
"4",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Bartow County","Georgia",13,15,"Outlying","13015","white",0.0660316643068606,"13015_w"
"5",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Bartow County","Georgia",13,15,"Outlying","13015","black",0.161841363764441,"13015_b"
"6",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Bartow County","Georgia",13,15,"Outlying","13015","tot",0.107818491150555,"13015_t"
"7",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Butts County","Georgia",13,35,"Outlying","13035","white",0.0660316643068606,"13035_w"
"8",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Butts County","Georgia",13,35,"Outlying","13035","black",0.161841363764441,"13035_b"
"9",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Butts County","Georgia",13,35,"Outlying","13035","tot",0.107818491150555,"13035_t"
"10",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Carroll County","Georgia",13,45,"Outlying","13045","white",0.0660316643068606,"13045_w"
"11",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Carroll County","Georgia",13,45,"Outlying","13045","black",0.161841363764441,"13045_b"
"12",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Carroll County","Georgia",13,45,"Outlying","13045","tot",0.107818491150555,"13045_t"
"13",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Cherokee County","Georgia",13,57,"Central","13057","white",0.0660316643068606,"13057_w"
"14",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Cherokee County","Georgia",13,57,"Central","13057","black",0.161841363764441,"13057_b"
"15",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Cherokee County","Georgia",13,57,"Central","13057","tot",0.107818491150555,"13057_t"
"16",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Clayton County","Georgia",13,63,"Central","13063","white",0.0660316643068606,"13063_w"
"17",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Clayton County","Georgia",13,63,"Central","13063","black",0.161841363764441,"13063_b"
"18",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Clayton County","Georgia",13,63,"Central","13063","tot",0.107818491150555,"13063_t"
"19",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Cobb County","Georgia",13,67,"Central","13067","white",0.0660316643068606,"13067_w"
"20",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Cobb County","Georgia",13,67,"Central","13067","black",0.161841363764441,"13067_b"
"21",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Cobb County","Georgia",13,67,"Central","13067","tot",0.107818491150555,"13067_t"
"22",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Coweta County","Georgia",13,77,"Central","13077","white",0.0660316643068606,"13077_w"
"23",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Coweta County","Georgia",13,77,"Central","13077","black",0.161841363764441,"13077_b"
"24",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Coweta County","Georgia",13,77,"Central","13077","tot",0.107818491150555,"13077_t"
"25",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Dawson County","Georgia",13,85,"Outlying","13085","white",0.0660316643068606,"13085_w"
"26",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Dawson County","Georgia",13,85,"Outlying","13085","black",0.161841363764441,"13085_b"
"27",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Dawson County","Georgia",13,85,"Outlying","13085","tot",0.107818491150555,"13085_t"
"28",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","DeKalb County","Georgia",13,89,"Central","13089","white",0.0660316643068606,"13089_w"
"29",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","DeKalb County","Georgia",13,89,"Central","13089","black",0.161841363764441,"13089_b"
"30",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","DeKalb County","Georgia",13,89,"Central","13089","tot",0.107818491150555,"13089_t"
"31",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Douglas County","Georgia",13,97,"Central","13097","white",0.0660316643068606,"13097_w"
"32",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Douglas County","Georgia",13,97,"Central","13097","black",0.161841363764441,"13097_b"
"33",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Douglas County","Georgia",13,97,"Central","13097","tot",0.107818491150555,"13097_t"
"34",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Fayette County","Georgia",13,113,"Central","13113","white",0.0660316643068606,"13113_w"
"35",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Fayette County","Georgia",13,113,"Central","13113","black",0.161841363764441,"13113_b"
"36",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Fayette County","Georgia",13,113,"Central","13113","tot",0.107818491150555,"13113_t"
"37",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Forsyth County","Georgia",13,117,"Central","13117","white",0.0660316643068606,"13117_w"
"38",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Forsyth County","Georgia",13,117,"Central","13117","black",0.161841363764441,"13117_b"
"39",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Forsyth County","Georgia",13,117,"Central","13117","tot",0.107818491150555,"13117_t"
"40",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Fulton County","Georgia",13,121,"Central","13121","white",0.0660316643068606,"13121_w"
"41",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Fulton County","Georgia",13,121,"Central","13121","black",0.161841363764441,"13121_b"
"42",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Fulton County","Georgia",13,121,"Central","13121","tot",0.107818491150555,"13121_t"
"43",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Gwinnett County","Georgia",13,135,"Central","13135","white",0.0660316643068606,"13135_w"
"44",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Gwinnett County","Georgia",13,135,"Central","13135","black",0.161841363764441,"13135_b"
"45",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Gwinnett County","Georgia",13,135,"Central","13135","tot",0.107818491150555,"13135_t"
"46",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Haralson County","Georgia",13,143,"Outlying","13143","white",0.0660316643068606,"13143_w"
"47",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Haralson County","Georgia",13,143,"Outlying","13143","black",0.161841363764441,"13143_b"
"48",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Haralson County","Georgia",13,143,"Outlying","13143","tot",0.107818491150555,"13143_t"
"49",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Heard County","Georgia",13,149,"Outlying","13149","white",0.0660316643068606,"13149_w"
"50",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Heard County","Georgia",13,149,"Outlying","13149","black",0.161841363764441,"13149_b"
"51",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Heard County","Georgia",13,149,"Outlying","13149","tot",0.107818491150555,"13149_t"
"52",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Henry County","Georgia",13,151,"Central","13151","white",0.0660316643068606,"13151_w"
"53",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Henry County","Georgia",13,151,"Central","13151","black",0.161841363764441,"13151_b"
"54",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Henry County","Georgia",13,151,"Central","13151","tot",0.107818491150555,"13151_t"
"55",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Jasper County","Georgia",13,159,"Outlying","13159","white",0.0660316643068606,"13159_w"
"56",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Jasper County","Georgia",13,159,"Outlying","13159","black",0.161841363764441,"13159_b"
"57",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Jasper County","Georgia",13,159,"Outlying","13159","tot",0.107818491150555,"13159_t"
"58",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Lamar County","Georgia",13,171,"Outlying","13171","white",0.0660316643068606,"13171_w"
"59",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Lamar County","Georgia",13,171,"Outlying","13171","black",0.161841363764441,"13171_b"
"60",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Lamar County","Georgia",13,171,"Outlying","13171","tot",0.107818491150555,"13171_t"
"61",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Meriwether County","Georgia",13,199,"Outlying","13199","white",0.0660316643068606,"13199_w"
"62",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Meriwether County","Georgia",13,199,"Outlying","13199","black",0.161841363764441,"13199_b"
"63",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Meriwether County","Georgia",13,199,"Outlying","13199","tot",0.107818491150555,"13199_t"
"64",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Morgan County","Georgia",13,211,"Outlying","13211","white",0.0660316643068606,"13211_w"
"65",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Morgan County","Georgia",13,211,"Outlying","13211","black",0.161841363764441,"13211_b"
"66",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Morgan County","Georgia",13,211,"Outlying","13211","tot",0.107818491150555,"13211_t"
"67",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Newton County","Georgia",13,217,"Central","13217","white",0.0660316643068606,"13217_w"
"68",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Newton County","Georgia",13,217,"Central","13217","black",0.161841363764441,"13217_b"
"69",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Newton County","Georgia",13,217,"Central","13217","tot",0.107818491150555,"13217_t"
"70",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Paulding County","Georgia",13,223,"Central","13223","white",0.0660316643068606,"13223_w"
"71",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Paulding County","Georgia",13,223,"Central","13223","black",0.161841363764441,"13223_b"
"72",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Paulding County","Georgia",13,223,"Central","13223","tot",0.107818491150555,"13223_t"
"73",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Pickens County","Georgia",13,227,"Outlying","13227","white",0.0660316643068606,"13227_w"
"74",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Pickens County","Georgia",13,227,"Outlying","13227","black",0.161841363764441,"13227_b"
"75",12060,NA,122,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area","","Atlanta--Athens-Clarke County--Sandy Springs, GA","Pickens County","Georgia",13,227,"Outlying","13227","tot",0.107818491150555,"13227_t"
