nsmoid,weight,hispan,race,mortgage_reason,sale_proceeds,savings_retire_etc,govt_np_asst,second_lien_heloc,gift,seller_cont,total_hh_inc,race_eth
300001,1713.5919025522,1,1,2,-2,0,0,0,0,-2,3,Hispanic
300002,1028.74925806451,2,2,2,-2,0,0,0,0,-2,1,Black
300003,715.49376146789,2,1,1,2,0,0,0,1,2,5,White
300004,827.881516587677,2,1,1,2,1,0,0,0,2,4,White
300005,919.748580323785,2,1,1,1,1,0,0,0,2,4,White
300006,1645.71716535433,2,2,2,-2,0,0,0,0,-2,5,Black
300007,877.572510121457,2,1,2,-2,0,0,0,0,-2,3,White
300008,1367.90560509554,2,1,1,2,0,0,0,0,1,2,White
300009,1661.39722222222,2,1,1,1,0,0,0,0,2,4,White
300010,614.987678571428,2,3,2,-2,0,0,0,0,-2,6,Asian
300011,1112.94,2,1,4,-2,0,0,0,0,-2,2,White
300012,1387.14545454545,2,1,2,-2,0,0,0,0,-2,3,White
300013,1585.3549090909,2,1,1,2,1,0,0,0,1,5,White
300014,710.589417040358,1,1,2,-2,0,0,0,0,-2,5,Hispanic
300015,1156.14854961832,2,3,1,2,0,0,0,0,2,5,Asian
300016,3196.11833333333,2,1,1,2,1,0,0,0,2,3,White
300017,1219.4608219178,2,1,2,-2,0,0,0,0,-2,6,White
300018,1786.20923913043,2,1,1,1,0,0,0,0,2,4,White
300019,702.661897435897,2,1,2,-2,0,0,0,0,-2,5,White
300020,935.36015936255,2,2,2,-2,0,0,0,0,-2,5,Black
300021,848.22081300813,2,1,1,1,0,0,0,0,1,6,White
300022,1014.68577272727,2,1,1,2,0,0,0,0,2,5,White
300023,607.868699551569,2,1,1,2,1,0,1,1,2,5,White
300024,1782.47959183673,2,1,1,1,0,0,0,1,2,2,White
300025,1437.58727477477,2,1,1,1,1,0,0,0,2,5,White
300026,1219.77460674157,2,1,2,-2,0,0,0,0,-2,6,White
300027,1292.63273584905,2,1,2,-2,0,0,0,0,-2,6,White
300028,1706.6544117647,2,1,2,-2,0,0,0,0,-2,1,White
300029,719.765789473684,2,1,1,2,1,0,0,0,2,5,White
300030,1583.49107913669,2,1,2,-2,0,0,0,0,-2,2,White
300031,903.160580357142,2,1,2,-2,0,0,0,0,-2,5,White
300032,1107.64051948051,2,1,1,1,1,0,0,0,2,6,White
300033,804.405672268907,2,1,1,1,0,1,0,0,2,5,White
300034,528.266221374045,2,1,1,1,0,0,0,0,2,6,White
300035,598.638181818182,1,1,2,-2,0,0,0,0,-2,6,Hispanic
300036,1042.62691729323,2,1,1,2,0,0,0,1,2,3,White
300037,947.346011904762,2,1,2,-2,0,0,0,0,-2,4,White
300038,1464.00454545454,2,1,1,2,1,0,0,0,1,4,White
300039,507.918926174496,2,1,1,2,1,0,0,0,2,5,White
300040,919.748580323785,2,1,2,-2,0,0,0,0,-2,3,White
300041,848.424903474903,2,1,1,1,0,0,0,0,2,5,White
300042,928.587975460122,2,3,1,2,0,0,0,0,2,5,Asian
300043,666.955107692307,2,2,2,-2,0,0,0,0,-2,2,Black
300044,2092.78142857142,2,1,1,2,1,0,0,0,1,5,White
300045,1601.82837209302,2,1,1,2,1,0,0,0,2,5,White
300046,1575.67382550335,2,1,2,-2,0,0,0,0,-2,3,White
300047,811.111813953488,2,2,2,-2,0,0,0,0,-2,6,Black
300048,1021.4125,2,1,1,1,1,0,0,1,2,4,White
300049,1619.82040816326,2,1,1,2,1,0,0,1,2,2,White
300050,1417.0124137931,2,1,2,-2,0,0,0,0,-2,6,White
300051,507.918926174496,2,1,1,2,1,0,0,0,2,3,White
300052,760.054480286738,2,3,2,-2,0,0,0,0,-2,5,Asian
300053,580.189549549549,2,3,5,-2,0,0,0,0,-2,1,Asian
300054,1028.74925806451,2,1,1,2,1,0,0,0,1,2,White
300055,4461.32042553191,1,1,1,2,1,0,0,1,1,2,Hispanic
300056,1331.87908396946,2,1,2,-2,0,0,0,0,-2,5,White
300057,1693.53692307692,1,1,1,2,1,0,0,0,2,5,Hispanic
300058,1168.32373913043,2,1,4,-2,0,0,0,0,-2,5,White
300059,621.015256410256,2,1,1,1,0,0,0,0,2,6,White
300060,648.307522123893,2,1,2,-2,0,0,0,0,-2,5,White
300061,908.275121951219,2,1,1,2,1,0,0,0,2,5,White
300062,698.163063829787,2,1,2,-2,0,0,0,0,-2,1,White
300063,700.158235294117,2,1,1,1,0,0,0,0,2,4,White
300064,882.352606060606,2,1,1,2,1,0,0,0,2,6,White
300065,919.748580323785,2,1,2,-2,0,0,0,0,-2,5,White
300066,919.748580323785,2,1,2,-2,0,0,0,0,-2,5,White
300067,935.36015936255,2,1,2,-2,0,0,0,0,-2,2,White
300068,1437.58727477477,2,1,2,-2,0,0,0,0,-2,2,White
300069,935.36015936255,2,1,1,1,0,0,0,0,1,5,White
300070,1450.20449438202,2,1,1,2,0,1,0,0,2,4,White
300071,1924.4040517241301,2,2,2,-2,0,0,0,0,-2,3,Black
300072,919.748580323785,2,1,2,-2,0,0,0,0,-2,5,White
300073,1026.83716535433,2,1,2,-2,0,0,0,0,-2,3,White
300074,1646.92868217054,2,1,1,1,0,0,0,0,2,6,White
300075,609.074125874126,2,1,2,-2,0,0,0,0,-2,3,White
300076,711.373893805309,2,1,2,-2,0,0,0,0,-2,5,White
300077,1292.92058823529,2,3,1,2,0,0,0,0,2,3,Asian
300078,1437.58727477477,2,1,2,-2,0,0,0,0,-2,5,White
300079,2650.40322580645,2,1,1,2,0,0,0,0,2,6,White
300080,1361.98937007874,2,1,1,2,1,0,0,0,2,5,White
300081,1081.6302259887,1,4,2,-2,0,0,0,0,-2,1,Hispanic
300082,2475.51578947368,2,1,1,1,0,0,0,0,2,1,White
300083,1829.35781609195,2,1,1,1,0,0,0,0,2,3,White
300084,1042.62691729323,2,1,1,2,1,0,0,0,1,6,White
300085,827.881516587677,2,1,1,2,1,0,0,0,2,5,White
300086,1531.4406849315,2,1,2,-2,0,0,0,0,-2,3,White
300087,1028.74925806451,2,1,2,-2,0,0,0,0,-2,6,White
300088,919.748580323785,2,1,2,-2,0,0,0,0,-2,4,White
300089,1042.62691729323,2,1,1,2,1,0,0,0,1,5,White
300090,937.545099337748,2,1,1,2,0,0,0,0,2,4,White
300091,507.918926174496,2,1,2,-2,0,0,0,0,-2,1,White
300092,621.015256410256,2,1,2,-2,0,0,0,0,-2,5,White
300093,907.819121621622,1,1,1,1,1,0,0,0,2,2,Hispanic
